Reporting starts,Reporting ends,Campaign name,Campaign delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Impressions,Reach,Ends,Attribution setting
9/7/2023,3/27/2026,Omiebox - Reel instagram 08-09-2023 Test Camp,inactive,292151,reach,0.22139236,Using ad set budget,0,64.68,410377,292151,9/22/2023,7-day click or 1-day view
9/7/2023,3/27/2026,MontiBag - post instagram 10-09-2023,archived,79923,reach,0.11323399,Using ad set budget,0,9.05,79923,79923,9/15/2023,7-day click or 1-day view
9/7/2023,3/27/2026,unbox Omiebox  - Reel instagram 10-09-2023,inactive,160090,reach,0.14385658,Using ad set budget,0,23.03,160492,160090,9/15/2023,7-day click or 1-day view
9/7/2023,3/27/2026,OmiePod - Reel instagram 12-09-2023,inactive,123981,reach,0.16986474,Using ad set budget,0,21.06,123981,123981,9/17/2023,7-day click or 1-day view
9/7/2023,3/27/2026,Album Campaign WhatsApp - instagram & Facebook 12-09-2023,inactive,425,actions:onsite_conversion.messaging_conversation_started_7d,0.34075294,Using ad set budget,0,144.82,88883,32384,10/4/2023,7-day click or 1-day view
9/7/2023,3/27/2026,Omiebox Album Campaign WhatsApp - instagram & Facebook 15-09-2023,inactive,169,actions:onsite_conversion.messaging_conversation_started_7d,0.35591716,Using ad set budget,0,60.15,37215,17820,Ongoing,7-day click or 1-day view
9/7/2023,3/27/2026,Why do we use lunchboxes - Reel instagram 17-09-2023,inactive,118329,reach,0.14527293,Using ad set budget,0,17.19,118329,118329,9/24/2023,7-day click or 1-day view
9/7/2023,3/27/2026,HIND - Reel instagram 25-09-2023,inactive,147522,reach,0.14153821,Using ad set budget,0,20.88,147522,147522,10/2/2023,7-day click or 1-day view
9/7/2023,3/27/2026,HIND- Reel instagram 03-10-2023,inactive,293096,reach,0.22146327,Using ad set budget,0,64.91,416818,293096,10/16/2023,7-day click or 1-day view
9/7/2023,3/27/2026,Album Campaign WhatsApp With Prices - instagram & Facebook 4-09-2023,inactive,46,actions:onsite_conversion.messaging_conversation_started_7d,1.52978261,Using ad set budget,0,70.37,39013,16930,10/11/2023,7-day click or 1-day view
9/7/2023,3/27/2026,Album Campaign WhatsApp No Prices - instagram & Facebook 4-09-2023,inactive,63,actions:onsite_conversion.messaging_conversation_started_7d,1.11365079,Using ad set budget,0,70.16,42896,19010,10/11/2023,7-day click or 1-day view
9/7/2023,3/27/2026,Summer Campaign,inactive,47,actions:onsite_conversion.messaging_conversation_started_7d,0.82382979,Using ad set budget,0,38.72,10951,6668,6/26/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Summer Campaign - Video,inactive,15,actions:onsite_conversion.messaging_conversation_started_7d,1.27866667,Using ad set budget,0,19.18,3739,2099,6/29/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Traffic Campaign,inactive,96,actions:link_click,0.1346875,Using ad set budget,0,12.93,20436,15924,7/9/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Jordan Campaign,inactive,68,actions:onsite_conversion.messaging_conversation_started_7d,0.21735294,Using ad set budget,0,14.78,6222,5165,8/27/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Jordan Campaign 2,inactive,38,actions:onsite_conversion.messaging_conversation_started_7d,0.38868421,Using ad set budget,0,14.77,5478,4066,8/27/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Jordan Campaign - Video,inactive,55,actions:onsite_conversion.messaging_conversation_started_7d,0.26490909,Using ad set budget,0,14.57,4556,3764,8/27/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Urth Mama is Now in Jordan - Video,inactive,233,actions:onsite_conversion.messaging_conversation_started_7d,0.22922747,Using ad set budget,0,53.41,25487,15842,9/12/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Back to School - Video,inactive,42,actions:onsite_conversion.messaging_conversation_started_7d,0.35714286,Using ad set budget,0,15,2710,1642,9/7/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Warranty - Video,inactive,32,actions:onsite_conversion.messaging_conversation_started_7d,0.4684375,Using ad set budget,0,14.99,2492,1573,9/7/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Jordan Campaign - Copy,inactive,26,actions:onsite_conversion.messaging_conversation_started_7d,0.57576923,Using ad set budget,0,14.97,7154,4654,9/17/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Fazlake - Video,inactive,17,actions:onsite_conversion.messaging_conversation_started_7d,0.38470588,Using ad set budget,0,6.54,1436,983,9/17/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Jordan Campaign - Copy,inactive,70,actions:onsite_conversion.messaging_conversation_started_7d,0.21428571,Using ad set budget,0,15,7054,5351,11/1/2024,7-day click or 1-day view
9/7/2023,3/27/2026,October Sale,inactive,117,actions:onsite_conversion.messaging_conversation_started_7d,0.25538462,Using ad set budget,0,29.88,11484,6034,11/5/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Jordan Campaign - Video 2,inactive,17,actions:onsite_conversion.messaging_conversation_started_7d,0.88117647,Using ad set budget,0,14.98,5073,3499,11/4/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Jordan Campaign - October,inactive,101,actions:onsite_conversion.messaging_conversation_started_7d,0.2949505,Using ad set budget,0,29.79,15918,11035,11/17/2024,7-day click or 1-day view
9/7/2023,3/27/2026,October Sale - OmieBox Offer,inactive,42,actions:onsite_conversion.messaging_conversation_started_7d,0.35642857,Using ad set budget,0,14.97,5484,3421,11/17/2024,7-day click or 1-day view
9/7/2023,3/27/2026,New Sales Campaign,inactive,27,actions:onsite_conversion.messaging_conversation_started_7d,0.54148148,Using ad set budget,0,14.62,5642,3893,12/8/2024,7-day click or 1-day view
9/7/2023,3/27/2026,Specific Areas - Jordan - January,inactive,87,actions:onsite_conversion.messaging_conversation_started_7d,0.16942529,Using ad set budget,0,14.74,8348,5717,1/21/2025,7-day click or 1-day view
9/7/2023,3/27/2026,Biggest Sale - Lebanon,inactive,96,actions:onsite_conversion.messaging_conversation_started_7d,0.84833333,Using ad set budget,0,81.44,23139,8014,2/13/2025,7-day click or 1-day view
9/7/2023,3/27/2026,Specific Areas - Jordan - Sale,inactive,,,,Using ad set budget,0,8.68,2882,1996,1/31/2025,"7-day click, 1-day view, or 1-day engaged-view"
9/7/2023,3/27/2026,Biggest Sale - Lebanon - February,inactive,30,actions:onsite_conversion.messaging_conversation_started_7d,1.433,Using ad set budget,0,42.99,10705,4674,4/27/2025,7-day click or 1-day view
9/7/2023,3/27/2026,March Sale - OmieBox,inactive,53,actions:onsite_conversion.messaging_conversation_started_7d,0.37528302,Using ad set budget,0,19.89,5911,2921,4/27/2025,7-day click or 1-day view
9/7/2023,3/27/2026,Specific Areas - Iraq - April,inactive,167,actions:onsite_conversion.messaging_conversation_started_7d,0.40928144,Using ad set budget,0,68.35,33713,14902,4/25/2025,7-day click or 1-day view
9/7/2023,3/27/2026,Specific Areas - Jordan - April,inactive,94,actions:onsite_conversion.messaging_conversation_started_7d,0.15765957,Using ad set budget,0,14.82,7163,4569,4/13/2025,7-day click or 1-day view
9/7/2023,3/27/2026,Flash Sale - May,inactive,3,actions:onsite_conversion.messaging_conversation_started_7d,2.45666667,Using ad set budget,0,7.37,1738,1410,5/17/2025,7-day click or 1-day view
9/7/2023,3/27/2026,May Sale - Lebanon,inactive,1,actions:onsite_conversion.messaging_conversation_started_7d,1.78,Using ad set budget,0,1.78,531,474,Ongoing,7-day click or 1-day view
9/7/2023,3/27/2026,New Sales Campaign,inactive,126,actions:onsite_conversion.messaging_conversation_started_7d,0.32031746,5,Daily,40.36,22829,11465,12/11/2025,7-day click or 1-day view
